,Open_kospi,High_kospi,Low_kospi,Close_kospi,Volume_kospi,Dividends_kospi,Stock Splits_kospi,Open_snp,High_snp,Low_snp,Close_snp,Volume_snp,Dividends_snp,Stock Splits_snp,kospi_rise,snp_rise
2020-02-20,2223.550048828125,2228.179931640625,2186.719970703125,2195.5,709600,0.0,0.0,3380.389892578125,3393.52001953125,3378.830078125,3386.14990234375,3614200000,0.0,0.0,0,1
2020-02-21,2165.64990234375,2184.429931640625,2160.280029296875,2162.840087890625,635500,0.0,0.0,3380.449951171875,3389.14990234375,3341.02001953125,3373.22998046875,4019180000,0.0,0.0,0,0
2020-02-24,2114.0400390625,2120.06005859375,2079.030029296875,2079.0400390625,948600,0.0,0.0,3360.5,3360.760009765625,3328.449951171875,3337.75,3908780000,0.0,0.0,0,0
2020-02-25,2075.550048828125,2105.489990234375,2071.5,2103.610107421875,1565600,0.0,0.0,3257.610107421875,3259.81005859375,3214.64990234375,3225.889892578125,4851160000,0.0,0.0,1,0
2020-02-26,2064.070068359375,2089.639892578125,2059.1298828125,2076.77001953125,810900,0.0,0.0,3238.93994140625,3246.989990234375,3118.77001953125,3128.2099609375,5596760000,0.0,0.0,1,0
2020-02-27,2073.8701171875,2085.39990234375,2049.14990234375,2054.889892578125,562500,0.0,0.0,3139.89990234375,3182.510009765625,3108.989990234375,3116.389892578125,5484650000,0.0,0.0,0,0
2020-02-28,2020.1700439453125,2031.010009765625,1980.8199462890625,1987.010009765625,671600,0.0,0.0,3062.5400390625,3097.070068359375,2977.389892578125,2978.760009765625,7064710000,0.0,0.0,0,0
2020-03-02,1997.030029296875,2017.0699462890625,1969.3399658203125,2002.510009765625,528100,0.0,0.0,2916.89990234375,2959.719970703125,2855.840087890625,2954.219970703125,8569570000,0.0,0.0,1,1
2020-03-03,2051.85009765625,2051.85009765625,2009.3900146484375,2014.1500244140625,615700,0.0,0.0,2974.280029296875,3090.9599609375,2945.18994140625,3090.22998046875,6381330000,0.0,0.0,0,1
2020-03-04,2005.81005859375,2063.590087890625,2005.81005859375,2059.330078125,606300,0.0,0.0,3096.4599609375,3136.719970703125,2976.6298828125,3003.3701171875,6376510000,0.0,0.0,1,0
2020-03-05,2078.110107421875,2089.080078125,2059.989990234375,2085.260009765625,675200,0.0,0.0,3045.75,3130.969970703125,3034.3798828125,3130.1201171875,5073020000,0.0,0.0,1,1
2020-03-06,2053.090087890625,2062.570068359375,2032.1300048828125,2040.219970703125,865600,0.0,0.0,3075.699951171875,3083.0400390625,2999.830078125,3023.93994140625,5579290000,0.0,0.0,0,0
2020-03-09,1981.02001953125,1989.5,1946.9000244140625,1954.77001953125,666900,0.0,0.0,2954.199951171875,2985.929931640625,2901.5400390625,2972.3701171875,6555240000,0.0,0.0,0,1
2020-03-10,1942.8499755859375,1968.1700439453125,1934.719970703125,1962.9300537109375,638600,0.0,0.0,2863.889892578125,2863.889892578125,2734.429931640625,2746.56005859375,8441290000,0.0,0.0,1,0
2020-03-11,1965.6700439453125,1967.699951171875,1898.27001953125,1908.27001953125,679700,0.0,0.0,2813.47998046875,2882.590087890625,2734.0,2882.22998046875,7642040000,0.0,0.0,0,1
2020-03-12,1887.969970703125,1897.22998046875,1808.56005859375,1834.3299560546875,850300,0.0,0.0,2825.60009765625,2825.60009765625,2707.219970703125,2741.3798828125,7431200000,0.0,0.0,0,0
2020-03-13,1722.6800537109375,1809.31005859375,1680.5999755859375,1771.43994140625,1035300,0.0,0.0,2630.860107421875,2660.949951171875,2478.860107421875,2480.639892578125,8850810000,0.0,0.0,1,0
2020-03-16,1805.4300537109375,1805.4300537109375,1714.3800048828125,1714.8599853515625,682000,0.0,0.0,2569.989990234375,2711.330078125,2492.3701171875,2711.02001953125,8299070000,0.0,0.0,0,1
2020-03-17,1640.8399658203125,1722.969970703125,1637.8800048828125,1672.43994140625,649800,0.0,0.0,2508.590087890625,2562.97998046875,2380.93994140625,2386.1298828125,7805450000,0.0,0.0,1,0
2020-03-18,1686.1199951171875,1693.949951171875,1591.1199951171875,1591.199951171875,728000,0.0,0.0,2425.659912109375,2553.929931640625,2367.0400390625,2529.18994140625,8370250000,0.0,0.0,0,1
2020-03-19,1626.0899658203125,1626.0899658203125,1439.4300537109375,1457.6400146484375,977700,0.0,0.0,2436.5,2453.570068359375,2280.52001953125,2398.10009765625,8799300000,0.0,0.0,0,0
2020-03-20,1498.489990234375,1566.8199462890625,1466.47998046875,1566.1500244140625,817000,0.0,0.0,2393.47998046875,2466.969970703125,2319.780029296875,2409.389892578125,7956100000,0.0,0.0,1,1
2020-03-23,1474.449951171875,1516.75,1458.4100341796875,1482.4599609375,647200,0.0,0.0,2431.93994140625,2453.010009765625,2295.56005859375,2304.919921875,9053950000,0.0,0.0,1,0
2020-03-24,1523.68994140625,1609.969970703125,1508.6800537109375,1609.969970703125,679300,0.0,0.0,2290.7099609375,2300.72998046875,2191.860107421875,2237.39990234375,7411380000,0.0,0.0,1,0
2020-03-25,1668.18994140625,1707.6400146484375,1645.280029296875,1704.760009765625,872800,0.0,0.0,2344.43994140625,2449.7099609375,2344.43994140625,2447.330078125,7563150000,0.0,0.0,1,1
2020-03-26,1699.1099853515625,1735.75,1679.22998046875,1686.239990234375,992500,0.0,0.0,2457.77001953125,2571.419921875,2407.530029296875,2475.56005859375,8300010000,0.0,0.0,0,1
2020-03-27,1756.0699462890625,1759.050048828125,1668.2099609375,1717.72998046875,1077500,0.0,0.0,2501.2900390625,2637.010009765625,2500.719970703125,2630.070068359375,7766990000,0.0,0.0,0,1
2020-03-30,1670.3399658203125,1729.6300048828125,1659.949951171875,1717.1199951171875,767800,0.0,0.0,2555.8701171875,2615.909912109375,2520.02001953125,2541.469970703125,6201670000,0.0,0.0,1,0
2020-03-31,1739.2900390625,1757.81005859375,1722.6199951171875,1754.6400146484375,1037500,0.0,0.0,2558.97998046875,2631.800048828125,2545.280029296875,2626.64990234375,5751120000,0.0,0.0,1,1
2020-04-01,1737.280029296875,1762.43994140625,1685.3699951171875,1685.4599609375,1243600,0.0,0.0,2614.68994140625,2641.389892578125,2571.14990234375,2584.590087890625,6576210000,0.0,0.0,0,0
2020-04-02,1693.530029296875,1726.760009765625,1664.1300048828125,1724.8599853515625,766300,0.0,0.0,2498.080078125,2522.75,2447.489990234375,2470.5,5964000000,0.0,0.0,1,0
2020-04-03,1731.1700439453125,1743.9100341796875,1706.6800537109375,1725.43994140625,1000100,0.0,0.0,2458.5400390625,2533.219970703125,2455.7900390625,2526.89990234375,6464190000,0.0,0.0,0,1
2020-04-06,1745.25,1794.18994140625,1742.6700439453125,1791.8800048828125,1219400,0.0,0.0,2514.919921875,2538.179931640625,2459.9599609375,2488.64990234375,6096970000,0.0,0.0,1,0
2020-04-07,1826.719970703125,1838.969970703125,1791.9200439453125,1823.5999755859375,951400,0.0,0.0,2578.280029296875,2676.85009765625,2574.570068359375,2663.679931640625,6403840000,0.0,0.0,0,1
2020-04-08,1815.75,1842.1600341796875,1801.800048828125,1807.1400146484375,907500,0.0,0.0,2738.64990234375,2756.889892578125,2657.669921875,2659.409912109375,7050410000,0.0,0.0,0,0
2020-04-09,1838.0899658203125,1839.3299560546875,1818.300048828125,1836.2099609375,920600,0.0,0.0,2685.0,2760.75,2663.300048828125,2749.97998046875,5875710000,0.0,0.0,0,1
2020-04-10,1835.760009765625,1861.0999755859375,1824.4300537109375,1860.699951171875,992500,0.0,0.0,2776.989990234375,2818.570068359375,2762.360107421875,2789.820068359375,7899550000,0.0,0.0,1,1
2020-04-14,1846.4100341796875,1864.4599609375,1837.1700439453125,1857.0799560546875,886800,0.0,0.0,2782.4599609375,2782.4599609375,2721.169921875,2761.6298828125,5319530000,0.0,0.0,1,0
2020-04-16,1839.510009765625,1862.22998046875,1828.1300048828125,1857.0699462890625,878300,0.0,0.0,2795.639892578125,2801.8798828125,2761.5400390625,2783.360107421875,5208000000,0.0,0.0,1,0
2020-04-17,1893.31005859375,1926.02001953125,1893.18994140625,1914.530029296875,1667500,0.0,0.0,2799.340087890625,2806.510009765625,2764.320068359375,2799.550048828125,5228810000,0.0,0.0,1,1
2020-04-20,1908.3399658203125,1925.25,1893.1700439453125,1898.3599853515625,1087500,0.0,0.0,2842.429931640625,2879.219970703125,2830.8798828125,2874.56005859375,5804810000,0.0,0.0,0,1
2020-04-21,1886.780029296875,1898.3199462890625,1841.6600341796875,1879.3800048828125,1174300,0.0,0.0,2845.6201171875,2868.97998046875,2820.429931640625,2823.159912109375,5228630000,0.0,0.0,0,0
2020-04-22,1855.510009765625,1897.9000244140625,1844.8499755859375,1896.1500244140625,820400,0.0,0.0,2784.81005859375,2785.5400390625,2727.10009765625,2736.56005859375,5121010000,0.0,0.0,1,0
2020-04-23,1907.449951171875,1923.530029296875,1895.97998046875,1914.72998046875,683700,0.0,0.0,2787.889892578125,2815.10009765625,2775.949951171875,2799.31005859375,5084920000,0.0,0.0,1,1
2020-04-24,1906.0699462890625,1908.2900390625,1880.7099609375,1889.010009765625,933900,0.0,0.0,2810.419921875,2844.89990234375,2794.260009765625,2797.800048828125,5773530000,0.0,0.0,0,0
2020-04-27,1897.06005859375,1929.8199462890625,1894.6199951171875,1922.77001953125,735700,0.0,0.0,2812.639892578125,2842.7099609375,2791.760009765625,2836.739990234375,5382810000,0.0,0.0,1,1
2020-04-28,1931.25,1941.7900390625,1911.6300048828125,1934.0899658203125,1173500,0.0,0.0,2854.64990234375,2887.719970703125,2852.889892578125,2878.47998046875,5203930000,0.0,0.0,1,1
2020-04-29,1936.8900146484375,1957.510009765625,1934.31005859375,1947.56005859375,1984200,0.0,0.0,2909.9599609375,2921.14990234375,2860.7099609375,2863.389892578125,5691160000,0.0,0.0,1,0
2020-05-04,1906.4200439453125,1918.6600341796875,1894.2900390625,1895.3699951171875,1146900,0.0,0.0,2869.090087890625,2869.090087890625,2821.610107421875,2830.7099609375,4759810000,0.0,0.0,0,0
2020-05-06,1919.449951171875,1928.760009765625,1919.449951171875,1928.760009765625,1082200,0.0,0.0,2868.8798828125,2898.22998046875,2863.550048828125,2868.43994140625,5140290000,0.0,0.0,1,0
2020-05-07,1922.0,1938.5,1918.5699462890625,1928.6099853515625,775700,0.0,0.0,2883.139892578125,2891.110107421875,2847.64990234375,2848.419921875,4892570000,0.0,0.0,1,0
2020-05-08,1944.93994140625,1956.8900146484375,1942.5400390625,1945.8199462890625,784500,0.0,0.0,2878.260009765625,2901.919921875,2876.47998046875,2881.18994140625,5178790000,0.0,0.0,1,1
2020-05-11,1953.510009765625,1960.4599609375,1932.8699951171875,1935.4000244140625,591100,0.0,0.0,2908.830078125,2932.159912109375,2902.8798828125,2929.800048828125,4876030000,0.0,0.0,0,1
2020-05-12,1938.6199951171875,1938.6199951171875,1905.1700439453125,1922.1700439453125,799900,0.0,0.0,2915.4599609375,2944.25,2903.43994140625,2930.18994140625,4819730000,0.0,0.0,0,1
2020-05-13,1897.5,1940.4200439453125,1897.239990234375,1940.4200439453125,618800,0.0,0.0,2939.5,2945.820068359375,2869.590087890625,2870.1201171875,5119630000,0.0,0.0,1,0
2020-05-14,1922.43994140625,1931.4300537109375,1913.489990234375,1924.9599609375,760600,0.0,0.0,2865.860107421875,2874.139892578125,2793.14990234375,2820.0,6151650000,0.0,0.0,1,0
2020-05-15,1937.6300048828125,1938.5899658203125,1913.2099609375,1927.280029296875,866400,0.0,0.0,2794.5400390625,2852.800048828125,2766.639892578125,2852.5,5651130000,0.0,0.0,0,1
2020-05-18,1934.510009765625,1943.0699462890625,1921.1400146484375,1937.1099853515625,761700,0.0,0.0,2829.949951171875,2865.010009765625,2816.780029296875,2863.699951171875,5507700000,0.0,0.0,1,1
2020-05-19,1977.469970703125,1983.77001953125,1968.5899658203125,1980.6099853515625,773400,0.0,0.0,2913.860107421875,2968.090087890625,2913.860107421875,2953.909912109375,6373670000,0.0,0.0,1,1
2020-05-20,1972.1199951171875,1992.199951171875,1972.1199951171875,1989.6400146484375,699400,0.0,0.0,2948.590087890625,2964.2099609375,2922.35009765625,2922.93994140625,4984330000,0.0,0.0,1,0
2020-05-21,2003.199951171875,2004.949951171875,1993.0,1998.31005859375,600900,0.0,0.0,2953.6298828125,2980.2900390625,2953.6298828125,2971.610107421875,5005380000,0.0,0.0,0,1
2020-05-22,2001.5999755859375,2002.6500244140625,1961.4000244140625,1970.1300048828125,847500,0.0,0.0,2969.949951171875,2978.5,2938.570068359375,2948.510009765625,4976620000,0.0,0.0,0,0
2020-05-25,1980.510009765625,1994.9000244140625,1967.8399658203125,1994.5999755859375,641500,0.0,0.0,2948.050048828125,2956.760009765625,2933.590087890625,2955.449951171875,3970860000,0.0,0.0,1,1
2020-05-27,2027.9000244140625,2043.43994140625,2019.8199462890625,2031.199951171875,1178800,0.0,0.0,3004.080078125,3021.719970703125,2988.169921875,2991.77001953125,5848500000,0.0,0.0,1,0
2020-05-28,2047.0799560546875,2054.52001953125,2003.75,2028.5400390625,1172100,0.0,0.0,3015.64990234375,3036.25,2969.75,3036.1298828125,6398000000,0.0,0.0,0,1
2020-05-29,2018.3699951171875,2038.8900146484375,2006.6199951171875,2029.5999755859375,1086200,0.0,0.0,3046.610107421875,3068.669921875,3023.39990234375,3029.72998046875,5447020000,0.0,0.0,1,0
2020-06-01,2037.0400390625,2065.3798828125,2035.6300048828125,2065.080078125,997300,0.0,0.0,3025.169921875,3049.169921875,2998.610107421875,3044.31005859375,7297550000,0.0,0.0,1,1
2020-06-02,2061.449951171875,2089.429931640625,2059.139892578125,2087.18994140625,1000300,0.0,0.0,3038.780029296875,3062.179931640625,3031.5400390625,3055.72998046875,4684170000,0.0,0.0,1,1
2020-06-03,2108.550048828125,2156.550048828125,2107.68994140625,2147.0,1152000,0.0,0.0,3064.780029296875,3081.070068359375,3051.639892578125,3080.820068359375,5197150000,0.0,0.0,1,1
2020-06-04,2181.639892578125,2191.0,2139.679931640625,2151.179931640625,1393300,0.0,0.0,3098.89990234375,3130.93994140625,3098.89990234375,3122.8701171875,6005560000,0.0,0.0,0,1
2020-06-05,2151.169921875,2187.25,2138.179931640625,2181.8701171875,854600,0.0,0.0,3111.56005859375,3128.909912109375,3090.409912109375,3112.35009765625,6451290000,0.0,0.0,1,1
2020-06-08,2215.60009765625,2217.2099609375,2174.9599609375,2184.2900390625,854000,0.0,0.0,3163.840087890625,3211.719970703125,3163.840087890625,3193.929931640625,8639300000,0.0,0.0,0,1
2020-06-09,2206.22998046875,2212.169921875,2166.010009765625,2188.919921875,817100,0.0,0.0,3199.919921875,3233.1298828125,3196.0,3232.389892578125,8498300000,0.0,0.0,0,1
2020-06-10,2187.909912109375,2200.679931640625,2178.1201171875,2195.68994140625,706300,0.0,0.0,3213.320068359375,3222.7099609375,3193.110107421875,3207.179931640625,6410930000,0.0,0.0,1,0
2020-06-11,2184.360107421875,2200.719970703125,2148.510009765625,2176.780029296875,827400,0.0,0.0,3213.419921875,3223.27001953125,3181.489990234375,3190.139892578125,6598870000,0.0,0.0,0,0
2020-06-12,2088.239990234375,2137.1201171875,2084.6298828125,2132.300048828125,689900,0.0,0.0,3123.530029296875,3123.530029296875,2999.489990234375,3002.10009765625,7037320000,0.0,0.0,1,0
2020-06-15,2114.409912109375,2129.669921875,2030.8199462890625,2030.8199462890625,1071600,0.0,0.0,3071.0400390625,3088.419921875,2984.469970703125,3041.31005859375,5845330000,0.0,0.0,0,0
2020-06-16,2091.090087890625,2138.080078125,2079.02001953125,2138.050048828125,973300,0.0,0.0,2993.760009765625,3079.760009765625,2965.659912109375,3066.590087890625,5757480000,0.0,0.0,1,1
