Open,High,Low,Close,Volume,Volume_Sector,Volume_MA_5,Volume_MA_slope_5,Volume_MA_20,Volume_MA_slope_20,Volume_MA_60,Volume_MA_slope_60,Volume_MA_240,Volume_MA_slope_240,Close_MA_5,Close_MA_slope_5,Close_MA_20,Close_MA_slope_20,Close_MA_60,Close_MA_slope_60,Close_MA_240,Close_MA_slope_240,RSI_Label,ud,Close_ud,daily_change_ratio,ct,Volume_Cluster,Volume_Cluster_Label,RSI
2201.2099609375,2202.320068359375,2171.840087890625,2175.169921875,494700,1,508520.0,-1460.0,527328.5714285715,-21200.0,484978.3333333333,1530.0,473007.9166666667,465.83333333337214,2193.011962890625,-5.7080078125,2196.135672433036,-3.0557338169642208,2117.9301595052084,2.574666341145985,2108.5835052490233,0.46620788574227845,2,-1,0,-0.011829875170749042,5.0,3,많음,
2192.580078125,2203.3798828125,2165.389892578125,2176.4599609375,631600,2,520840.0,12320.0,525171.4285714285,-2157.142857142957,490135.0,5156.666666666686,474055.8333333333,1047.9166666666279,2190.287939453125,-2.724023437499909,2192.1756766183034,-3.9599958147323377,2120.508992513021,2.578833007812591,2109.0038798014325,0.42037455240915733,2,-1,1,-0.007352122437090293,1.0,0,거래량 작음,100.0
2154.969970703125,2164.419921875,2149.949951171875,2155.070068359375,592700,2,525120.0,4280.0,538128.5714285715,12957.142857142957,492721.6666666667,2586.666666666686,474721.6666666667,665.8333333333721,2181.715966796875,-8.571972656250182,2185.227120535714,-6.948556082589221,2122.3226603190105,1.813667805989553,2109.3811716715495,0.3772918701170056,1,1,0,4.644967568496561e-05,1.0,3,많음,5.688020065233545
2166.60009765625,2181.6201171875,2164.27001953125,2175.5400390625,568200,1,540720.0,15600.0,537871.4285714285,-257.1428571429569,494761.6666666667,2040.0,475257.9166666667,536.25,2175.981982421875,-5.733984375000091,2183.149972098214,-2.0771484375,2124.779160563151,2.456500244140443,2109.7076721191406,0.3265004475911155,1,1,1,0.004126253578554209,1.0,3,많음,50.42887372554345
2156.27001953125,2162.320068359375,2137.719970703125,2151.31005859375,913800,3,640200.0,99480.0,586800.0,48928.57142857148,503640.0,8878.333333333314,476981.6666666667,1723.75,2166.710009765625,-9.27197265625,2176.489990234375,-6.659981863839221,2126.5574951171875,1.778334554036519,2109.8960469563804,0.18837483723973492,1,-1,0,-0.0023002503826391103,1.0,0,거래량 작음,32.294520051596436
2182.199951171875,2186.449951171875,2172.159912109375,2186.449951171875,592600,2,659780.0,19580.0,601428.5714285715,14628.571428571478,504996.6666666667,1356.666666666686,477467.9166666667,486.25,2168.966015625,2.256005859375364,2173.9528459821427,-2.5371442522323377,2128.5416625976563,1.984167480468841,2110.2268381754557,0.3307912190753086,1,1,1,0.00194757588447277,2.0,3,많음,55.50139192848178
2189.47998046875,2206.919921875,2188.10009765625,2206.389892578125,594500,2,652360.0,-7420.0,626871.4285714285,25442.857142857043,507163.3333333333,2166.666666666628,478042.0833333333,574.1666666666279,2174.952001953125,5.985986328124909,2175.198556082589,1.2457101004465585,2130.8453287760417,2.303666178385356,2110.5689626057942,0.342124430338572,1,1,1,0.0077232549556149515,5.0,3,많음,62.74703695212273
2204.489990234375,2230.429931640625,2204.489990234375,2229.260009765625,488300,1,631480.0,-20880.0,625957.1428571428,-914.285714285681,506560.0,-603.3333333333139,478418.3333333333,376.25,2189.789990234375,14.837988281250091,2182.925711495536,7.7271554129465585,2133.2858276367188,2.440498860677053,2111.00500386556,0.43604125976571595,1,1,1,0.011236167839717214,5.0,3,많음,68.60942327108157
2243.06005859375,2250.7900390625,2232.93994140625,2238.8798828125,835900,3,685020.0,53540.0,655142.8571428572,29185.71428571432,515255.0,8695.0,480153.75,1735.416666666686,2202.457958984375,12.66796875,2191.842843191964,8.917131696428442,2135.9681599934897,2.682332356770985,2111.5096282958984,0.504624430338481,1,-1,1,-0.0018636040373661209,1.0,0,거래량 작음,70.55827086031569
2229.800048828125,2238.2099609375,2223.389892578125,2230.97998046875,746200,2,651500.0,-33520.0,677071.4285714285,21928.571428571362,519080.0,3825.0,481560.4166666667,1406.666666666686,2218.391943359375,15.933984374999909,2202.6871163504466,10.844273158482338,2138.806327311198,2.838167317708212,2111.939628092448,0.4299997965495095,1,1,0,0.0005291647747721214,1.0,0,거래량 작음,67.13545976804711
2231.929931640625,2249.090087890625,2225.409912109375,2248.050048828125,808300,2,694640.0,43140.0,711371.4285714285,34300.0,522450.0,3370.0,483204.5833333333,1644.1666666666279,2230.711962890625,12.320019531249727,2213.0456891741073,10.35857282366078,2141.859826660156,3.053499348958212,2112.3688781738283,0.4292500813803599,1,1,1,0.007222501458928231,1.0,0,거래량 작음,70.25351753373019
2261.570068359375,2268.7099609375,2245.580078125,2250.570068359375,580800,2,691900.0,-2740.0,663800.0,-47571.42857142852,523728.3333333333,1278.333333333314,483916.25,711.6666666666861,2239.547998046875,8.836035156250091,2227.2256905691966,14.18000139508922,2144.5549926757812,2.695166015625091,2112.672378540039,0.3035003662107556,1,-1,1,-0.004863877601625582,1.0,3,많음,70.6644024339164
2261.39990234375,2277.22998046875,2258.090087890625,2262.639892578125,545500,1,703340.0,11440.0,657071.4285714285,-6728.5714285714785,525661.6666666666,1933.333333333314,484640.8333333333,724.5833333333139,2246.223974609375,6.675976562500182,2238.1099679129466,10.88427734375,2147.588655598958,3.033662923176962,2113.0279612223308,0.355582682291697,1,1,1,0.0005483285964105044,1.0,3,많음,72.48475294052673
