Date,Open,High,Low,Close,Volume,Date_shifted,Volume_MA_5,Volume_MA_slope_5,Volume_MA_20,Volume_MA_slope_20,Volume_MA_60,Volume_MA_slope_60,Volume_MA_240,Volume_MA_slope_240,Close_MA_5,Close_MA_slope_5,Close_MA_20,Close_MA_slope_20,Close_MA_60,Close_MA_slope_60,Close_MA_240,Close_MA_slope_240,RSI_Label,ud,Close_ud,daily_change_ratio,Actual_rate,Label_rate,Actual_pmi,Label_pmi,Actual_cpi,Label_cpi,Event,Season,Volume_Sector,ratio_change_sector,RSI
2020-01-02,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3459930000,2020-01-03 00:00:00-05:00,2794020000.0,432680000.0,2618737142.857143,-428221428.5714283,3482700333.3333335,8348000.0,3541222833.3333335,-2287833.333333015,3237.97001953125,6.89404296875,3233.891427176339,5.232875279017662,3098.748653157552,5.317667643229015,2932.983992513021,2.446417236328216,2,1,1,0.0040621006446269,1.75,7.0,48.1,5.0,2.1,5.0,,6.0,0,2,86.84835480584944
2020-01-03,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3484700000,2020-01-06 00:00:00-05:00,3058052000.0,264032000.0,2678761428.571429,60024285.71428585,3484600333.3333335,1900000.0,3539392625.0,-1830208.3333334925,3236.958056640625,-1.011962890625,3235.440011160714,1.548583984375,3104.4451538085937,5.696500651041788,2935.492118326823,2.508125813802053,2,1,0,0.0026314453290086,1.75,7.0,47.2,5.0,2.1,5.0,2.0,6.0,0,2,71.55300943310846
2020-01-06,3217.550048828125,3246.840087890625,3214.639892578125,3246.280029296875,3702460000,2020-01-07 00:00:00-05:00,3312714000.0,254662000.0,3022465714.285714,343704285.7142854,3500718833.3333335,16118500.0,3540824666.6666665,1432041.6666665075,3238.21005859375,1.2520019531252728,3238.7114606584823,3.271449497768117,3109.8931559244793,5.448002115885629,2938.0237019856772,2.531583658854288,2,1,1,0.0089291479643693,1.75,7.0,47.2,5.0,2.1,5.0,,6.0,0,3,73.48441121362544
2020-01-07,3241.860107421875,3244.909912109375,3232.429931640625,3237.179931640625,3435910000,2020-01-08 00:00:00-05:00,3395552000.0,82838000.0,3204090000.0,181624285.71428585,3504077333.3333335,3358500.0,3540769166.6666665,-55500.0,3241.388037109375,3.177978515625,3238.321463448661,-0.3899972098215585,3114.877323404948,4.984167480468841,2940.502243041992,2.4785410563149526,1,-1,0,-0.0014436698766042,1.75,7.0,47.2,5.0,2.1,5.0,,6.0,0,1,65.10130962401118
2020-01-08,3238.590087890625,3267.070068359375,3236.669921875,3253.050048828125,3726840000,2020-01-09 00:00:00-05:00,3561968000.0,166416000.0,3389474285.714286,185384285.71428585,3506502666.6666665,2425333.333333015,3540376833.3333335,-392333.33333301544,3245.842041015625,4.454003906249909,3240.1828962053573,1.8614327566965585,3119.590323893229,4.713000488281068,2942.953451538086,2.451208496093841,1,1,1,0.0044648938411709,1.75,7.0,47.2,5.0,2.1,5.0,,6.0,0,2,68.20882521860344
2020-01-09,3266.030029296875,3275.580078125,3263.669921875,3274.699951171875,3641230000,2020-01-10 00:00:00-05:00,3598228000.0,36260000.0,3477975714.285714,88501428.5714283,3524535333.3333335,18032666.666666985,3540420208.3333335,43375.0,3249.21201171875,3.369970703125091,3247.8128836495534,7.629987444196104,3124.7328247070313,5.142500813802144,2945.581992594401,2.6285410563150435,2,1,1,0.0026545750642918,1.75,7.0,47.2,5.0,2.1,5.0,,6.0,0,2,72.40450679737741
2020-01-10,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3214580000,2020-01-13 00:00:00-05:00,3544204000.0,-54024000.0,3523664285.714286,45688571.4285717,3522360166.6666665,-2175166.666666985,3539155666.6666665,-1264541.6666669846,3255.31201171875,6.099999999999909,3252.75146484375,4.9385811941965585,3129.227327473958,4.494502766926871,2948.187618001302,2.605625406900799,1,-1,0,-0.0050155129771748,1.75,7.0,47.2,5.0,2.1,5.0,,6.0,0,0,66.51430292242624
2020-01-13,3271.1298828125,3288.1298828125,3268.429931640625,3288.1298828125,3459390000,2020-01-14 00:00:00-05:00,3495590000.0,-48614000.0,3523587142.857143,-77142.85714292526,3526178000.0,3817833.333333492,3537389500.0,-1766166.6666665075,3263.681982421875,8.369970703125091,3257.0771484375,4.32568359375,3134.2013264973957,4.9739990234375,2950.7171173095703,2.5294993082684414,1,1,1,0.0051969810460058,1.75,7.0,47.2,5.0,2.1,5.0,,6.0,0,2,67.74516037548933
2020-01-14,3285.35009765625,3294.25,3277.18994140625,3283.14990234375,3687620000,2020-01-15 00:00:00-05:00,3545932000.0,50342000.0,3552575714.285714,28988571.428571224,3535913833.3333335,9735833.333333492,3532113750.0,-5275750.0,3272.8759765625,9.193994140624907,3263.977120535714,6.899972098214221,3138.954659016927,4.753332519531341,2953.1298248291014,2.412707519531068,1,-1,0,-0.0006696988896463,1.75,7.0,47.2,5.0,2.3,4.0,1.0,6.0,0,1,65.50437858187968
2020-01-15,3282.27001953125,3298.659912109375,3280.68994140625,3289.2900390625,3721490000,2020-01-16 00:00:00-05:00,3544862000.0,-1070000.0,3555294285.714286,2718571.428571701,3543455833.3333335,7542000.0,3531859583.3333335,-254166.66666650772,3280.123974609375,7.247998046875182,3270.121407645089,6.144287109375,3144.0061604817706,5.051501464843568,2955.5579915364583,2.4281667073569224,1,1,1,0.0021387696592532,1.75,7.0,47.2,5.0,2.3,4.0,,6.0,0,2,66.79410966982599
